URL;Category;Location;Product
https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml;News;USA;DIB
https://feeds.a.dj.com/rss/RSSWorldNews.xml;News;USA;DIB
https://feeds.a.dj.com/rss/WSJcomUSBusiness.xml;News;USA;DIB
https://feeds.washingtonpost.com/rss/world;News;USA;DIB
https://rss.app/feeds/kAcnnpggpa9pAKGQ.xml;News;USA;DIB
https://abcnews.go.com/abcnews/topstories;News;USA;DIB
https://www.cbsnews.com/latest/rss/main;News;USA;DIB
https://feeds.nbcnews.com/nbcnews/public/news;News;USA;DIB
https://rss.politico.com/politics-news.xml;News;USA;DIB
https://thehill.com/homenews/feed/;News;USA;DIB
https://rss.app/feeds/tUdgTXirTuoJc2Gb.xml;News;World;DIB
https://rss.app/feeds/RNmNywcpsxvGFKoZ.xml;/News;World;DIB
https://rss.app/feed/8L9Y9xVvB9W8D9vL;News;World;DIB
https://feeds.bloomberg.com/markets/news.rss;News;World;DIB
https://feeds.bloomberg.com/business/news.rss;News;World;DIB
https://feeds.bloomberg.com/economics/news.rss;News;World;DIB
https://time.com/feed/;News;USA;DIB
https://www.theatlantic.com/feed/all/;News;USA;DIB
https://www.newyorker.com/feed/everything;News;USA;DIB
https://feeds.bbci.co.uk/news/world/rss.xml;News;Europe;DIB
https://www.theguardian.com/world/rss;News;Europe;DIB
https://rss.dw.com/rdf/rss-en-all;News;Europe;DIB
https://www.lemonde.fr/en/rss/une.xml;News;Europe;DIB
https://feeds.elpais.com/mrss-s/pages/ep/site/elpais.com/portada;News;Europe;DIB
https://www.euronews.com/rss?level=vertical&name=news;News;Europe;DIB
https://rss.app/feeds/RNmNywcpsxvGFKoZ.xml;News;Europe;DIB
https://www.france24.com/en/rss;News;Europe;DIB
https://rss.app/feed/tkNMNExYdk4UnFtB;News;Europe;DIB
https://www.ft.com/?format=rss;News;Europe;DIB
https://www.lanacion.com.ar/arc/outboundfeeds/rss/?outputType=xml;News;Argentina;DIB
https://www.infobae.com/arc/outboundfeeds/rss/;News;Argentina;DIB
https://www.clarin.com/rss/lo-ultimo/;News;Argentina;DIB
https://www.ambito.com/rss/pages/home.xml;News;Argentina;DIB
https://www.pagina12.com.ar/arc/outboundfeeds/rss/portada/;News;Argentina;DIB
https://www.perfil.com/rss/politica;News;Argentina;DIB
https://www.cronista.com/files/rss/news.xml;News;Argentina;DIB
https://www.latercera.com/arc/outboundfeeds/rss/category/mundo/?outputType=xml;News;SouthAm;DIB
https://rss.app/feeds/tRw30vlUcGcAYtCj.xml;News;SouthAm;DIB
https://elcomercio.pe/arc/outboundfeeds/rss/category/peru/?outputType=xml;News;SouthAm;DIB
https://www.aljazeera.com/xml/rss/all.xml;News;World;DIB
https://techcrunch.com/feed/;Technology;World;CTW
https://www.theverge.com/rss/index.xml;Technology;World;CTW
https://www.wired.com/feed/rss;Technology;World;CTW
https://feeds.arstechnica.com/arstechnica/index;Technology;World;CTW
https://news.ycombinator.com/rss;Technology;World;CTW
https://www.zdnet.com/news/rss.xml;Technology;World;CTW
https://www.engadget.com/rss.xml;Technology;World;CTW
http://feeds.weblogssl.com/genbeta;Technology;Spanish;CTW
https://9to5mac.com/feed/;Technology;World;CTW
https://www.androidcentral.com/feed;Technology;World;CTW
https://www.theregister.com/headlines.rss;Technology;World;CTW
https://siliconangle.com/feed/;Technology;World;CTW
https://spectrum.ieee.org/rss/fulltext;Technology;World;CTW
https://www.technologyreview.com/feed/;Technology;World;CTW
